e_form,mu_b,vpa,gap pbe,a,alpha,beta,gamma,e_form oxygen,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
-3.844,0.0,12.898,4.521,5.623,90.0,90.0,90.0,6.69,8.0,72.0,64.0,31.8,28.560000000000002,8.0,25.0,87.0,62.0,66.2,24.96,87.0,15.9994,178.49,162.4906,75.69044,71.629248,15.9994,54.8,2506.0,2451.2,753.08,837.936,54.8,3.0,16.0,13.0,11.0,6.0,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,198.0,132.0,114.2,57.84000000000001,66.0,1.185,3.44,2.255,2.561,1.0547999999999997,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,14.0,14.0,4.2,5.040000000000001,0.0,6.0,18.0,12.0,9.0,3.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,2.0,8.0,6.0,4.2,2.6399999999999997,2.0,9.105,36.46,27.355,17.195,9.708,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,-2,4,6,3.3806170189140663
-3.803,0.0,16.323,4.512,6.017,90.0,90.0,90.0,5.479,8.0,90.0,82.0,35.4,32.879999999999995,8.0,16.0,87.0,71.0,60.4,31.920000000000005,87.0,15.9994,232.03806,216.03866,86.400052,84.4807824,15.9994,54.8,2023.0,1968.2,656.48,722.016,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,206.0,140.0,120.4,65.28,66.0,1.185,3.44,2.255,2.561,1.0547999999999997,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,4.0,9.0,5.0,6.2,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,2.0,8.0,6.0,4.2,2.6399999999999997,2.0,9.105,36.46,27.355,19.229,12.1488,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,-2,4,6,3.3806170189140663
-3.803,0.0,12.208,4.69,5.422,90.0,90.0,90.0,5.05,8.0,66.0,58.0,22.2,17.52,8.0,11.0,87.0,76.0,60.6,31.679999999999996,87.0,15.9994,162.5,146.5006,51.0908224,44.563671039999996,15.9994,54.8,1814.0,1759.2,732.6800000000001,813.456,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,192.0,126.0,112.0,55.2,66.0,1.22,3.44,2.2199999999999998,2.58,1.032,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,10.0,10.0,2.0,3.2,0.0,3.0,12.0,9.0,6.6,2.1599999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,4.0,4.0,0.8,1.28,0.0,2.0,9.0,7.0,3.8,2.16,2.0,9.105,31.24,22.134999999999998,16.157999999999998,8.4636,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.2700000000000001e-06,2.032e-06,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,-2,3,5,3.2732683535398857
-3.8,0.0,14.634,4.59,5.814,90.0,90.0,90.0,5.056,8.0,69.0,61.0,30.0,26.4,8.0,13.0,87.0,74.0,62.2,29.76,87.0,15.9994,168.93421,152.93481,71.16757600000001,66.2018112,15.9994,54.8,1818.0,1763.2,635.08,696.336,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,207.0,141.0,119.0,63.6,66.0,1.1,3.44,2.34,2.534,1.0872,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,13.0,13.0,2.6,4.16,0.0,3.0,15.0,12.0,7.2,3.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,1.0,1.0,0.2,0.32,0.0,1.0,9.0,8.0,3.2,2.3200000000000003,2.0,9.105,36.8975,27.7925,18.7985,11.632200000000001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,-2,3,5,3.2732683535398857
-3.793,0.0,15.05,4.709,5.905,90.0,90.0,90.0,5.945,8.0,89.0,81.0,36.8,34.56,8.0,14.0,87.0,73.0,63.2,28.560000000000002,87.0,15.9994,227.0,211.0006,89.99300000000001,88.79232,15.9994,54.8,1936.0,1881.2,684.6800000000001,755.856,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,215.0,149.0,120.0,64.8,66.0,1.1,3.44,2.34,2.5380000000000003,1.0823999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,3.0,17.0,14.0,7.6,3.7599999999999993,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.8,3.3599999999999994,2.0,9.105,44.5125,35.4075,20.1385,13.240199999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022471,0.0022471,0.00044942,0.0007190720000000001,0.0,12.0,225.0,213.0,91.0,94.8,12.0,-2,3,5,3.2732683535398857
-3.789,0.0,12.399,4.618,5.462,90.0,90.0,90.0,5.136,8.0,64.0,56.0,21.8,16.880000000000003,8.0,11.0,87.0,76.0,59.8,32.64,87.0,15.9994,157.25,141.2506,50.0408224,42.88367104,15.9994,54.8,1814.0,1759.2,712.88,789.696,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,196.0,130.0,112.8,56.15999999999999,66.0,1.2,3.44,2.24,2.576,1.0368,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,3.0,10.0,7.0,6.2,1.52,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,2.0,16.0,14.0,6.2,5.040000000000001,2.0,9.105,32.05,22.944999999999997,16.32,8.657999999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.2700000000000001e-06,2.032e-06,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,-2,3,5,3.2732683535398857
-3.789,0.0,13.241,4.099,5.653,90.0,90.0,90.0,5.579,8.0,57.0,49.0,20.4,14.88,8.0,11.0,87.0,76.0,57.0,36.0,87.0,15.9994,138.90547,122.90607000000001,46.371916399999996,37.013421439999995,15.9994,54.8,1814.0,1759.2,634.28,695.376,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,207.0,141.0,115.0,58.8,66.0,1.1,3.44,2.34,2.556,1.0608,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.8,3.3599999999999994,2.0,9.105,36.8975,27.7925,17.2895,9.8214,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.2700000000000001e-06,2.032e-06,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,-2,3,5,3.2732683535398857
-3.782,0.0,14.353,4.557,5.841,60.8,60.8,60.8,5.238,8.0,71.0,63.0,30.4,26.879999999999995,8.0,13.0,87.0,74.0,63.0,28.8,87.0,15.9994,174.9668,158.9674,72.374094,67.64963279999999,15.9994,54.8,1936.0,1881.2,658.6800000000001,724.6560000000001,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,207.0,141.0,118.4,62.879999999999995,66.0,1.1,3.44,2.34,2.5380000000000003,1.0823999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,3.0,17.0,14.0,7.6,3.7599999999999993,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.8,3.3599999999999994,2.0,9.105,36.8975,27.7925,18.6155,11.412600000000001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022471,0.0022471,0.00044942,0.0007190720000000001,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,-2,3,5,3.2732683535398857
-3.776,0.0,14.809,4.586,5.832,90.0,90.0,90.0,4.912,8.0,68.0,60.0,29.8,26.160000000000004,8.0,13.0,87.0,74.0,61.8,30.24,87.0,15.9994,167.259,151.25959999999998,70.832534,65.79976079999999,15.9994,54.8,1770.0,1715.2,625.48,684.816,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,207.0,141.0,118.8,63.35999999999999,66.0,1.1,3.44,2.34,2.532,1.0896000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,12.0,12.0,2.4,3.84,0.0,3.0,14.0,11.0,7.0,2.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,2.0,2.0,0.4,0.64,0.0,2.0,9.0,7.0,3.4,2.2399999999999998,2.0,9.105,36.8975,27.7925,18.9595,11.825399999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,-2,3,5,3.2732683535398857
-3.772,0.0,15.361,4.565,5.94,90.0,90.0,90.0,5.793,8.0,89.0,81.0,36.4,34.08,8.0,14.0,87.0,73.0,62.4,29.520000000000003,87.0,15.9994,227.0,211.0006,88.786482,87.3444984,15.9994,54.8,1818.0,1763.2,661.08,727.5360000000001,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,215.0,149.0,120.6,65.52000000000001,66.0,1.1,3.44,2.34,2.534,1.0872,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,13.0,13.0,2.6,4.16,0.0,3.0,15.0,12.0,7.2,3.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,1.0,1.0,0.2,0.32,0.0,1.0,9.0,8.0,3.2,2.3200000000000003,2.0,9.105,44.5125,35.4075,20.3215,13.459800000000001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,-2,3,5,3.2732683535398857
