e_form,e_hull,mu_b,gap pbe,a,alpha,beta,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
-1.463,0.675,0.4,0.0,3.983,90.0,90.0,8.0,45.0,37.0,22.0,16.8,8.0,47.0,87.0,40.0,73.4,16.32,87.0,15.9994,102.9055,86.90610000000001,48.762016,39.3151392,15.9994,54.8,2750.0,2695.2,1030.28,1170.576,54.8,5.0,16.0,11.0,12.4,4.32,16.0,2.0,5.0,3.0,3.2,1.44,2.0,66.0,164.0,98.0,100.8,41.760000000000005,66.0,1.6,3.44,1.8399999999999999,2.84,0.72,3.44,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,2.4,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,6.4,1.0400000000000003,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,6.0,6.0,1.6,1.9200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.2,1.52,2.0,9.105,18.18,9.075,11.827000000000002,3.2664,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,-2,3,5,3.2732683535398857
-1.463,0.675,0.4,0.0,3.983,90.0,90.0,8.0,45.0,37.0,22.0,16.8,8.0,47.0,87.0,40.0,73.4,16.32,87.0,15.9994,102.9055,86.90610000000001,48.762016,39.3151392,15.9994,54.8,2750.0,2695.2,1030.28,1170.576,54.8,5.0,16.0,11.0,12.4,4.32,16.0,2.0,5.0,3.0,3.2,1.44,2.0,66.0,164.0,98.0,100.8,41.760000000000005,66.0,1.6,3.44,1.8399999999999999,2.84,0.72,3.44,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,2.4,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,6.4,1.0400000000000003,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,6.0,6.0,1.6,1.9200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.2,1.52,2.0,9.105,18.18,9.075,11.827000000000002,3.2664,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,-2,3,5,3.2732683535398857
-1.463,0.38,-0.001,0.544,6.031,57.0,57.0,8.0,78.0,70.0,24.4,21.439999999999998,8.0,7.0,87.0,80.0,66.2,24.96,87.0,15.9994,195.084,179.0846,56.63204,55.38078399999999,15.9994,54.8,2041.4,1986.6000000000001,664.1600000000001,731.2320000000001,54.8,2.0,16.0,14.0,12.0,4.8,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,176.0,110.0,102.0,43.2,66.0,1.0,3.44,2.44,2.7199999999999998,0.8640000000000001,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,2.0,24.0,22.0,8.8,6.08,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6,0.6399999999999999,2.0,9.105,37.77,28.665000000000003,16.021,8.6996,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24000000000001,12.0,-2,4,6,3.3806170189140663
-1.46,1.17,0.201,0.0,4.296,90.0,90.0,8.0,65.0,57.0,24.2,19.439999999999998,8.0,29.0,87.0,58.0,73.8,17.92,87.0,15.9994,158.92535,142.92595,55.912710000000004,47.89597200000001,15.9994,54.8,1629.0,1574.2,600.96,655.392,54.8,3.0,16.0,13.0,13.0,4.0,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,194.0,128.0,102.4,43.68,66.0,1.21,3.44,2.23,2.7079999999999997,0.8784000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,9.0,9.0,1.8,2.88,0.0,6.0,14.0,8.0,8.6,3.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.6,0.0,2.0,5.0,3.0,3.0,1.2,2.0,9.105,31.7366666667,22.6316666667,16.41133333334,8.767600000007999,9.105,0.0,0.383,0.383,0.0766,0.12256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,-2,3,5,3.2732683535398857
-1.46,1.225,0.0,0.0,4.359,90.0,90.0,8.0,83.0,75.0,35.0,32.4,8.0,35.0,87.0,52.0,76.4,16.559999999999995,87.0,15.9994,208.9804,192.981,84.84752,82.617744,15.9994,54.8,1770.0,1715.2,495.76000000000005,529.152,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,189.0,123.0,107.0,49.2,66.0,1.24,3.44,2.2,2.716,0.8687999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,5.2,6.24,0.0,6.0,29.0,23.0,12.2,7.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.4,0.64,0.0,2.0,3.0,1.0,2.2,0.3200000000000001,2.0,9.105,32.95,23.845000000000002,18.17,10.878,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,48.4,58.239999999999995,12.0,-2,3,5,3.2732683535398857
-1.457,1.221,0.039,0.0,4.477,90.0,90.0,8.0,60.0,52.0,27.0,22.8,8.0,19.0,87.0,68.0,73.0,21.6,87.0,15.9994,144.242,128.24259999999998,62.80004,56.160768000000004,15.9994,54.8,1294.0,1239.2,472.436,501.16319999999996,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,201.0,135.0,107.6,49.92,66.0,1.14,3.44,2.3,2.702,0.8856000000000002,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,4.0,4.0,0.8,1.28,0.0,6.0,15.0,9.0,7.8,2.88,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,3.2,0.0,2.0,10.0,8.0,3.8,2.4799999999999995,2.0,9.105,34.81,25.705000000000002,18.737000000000002,11.5584,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,79.2,80.64000000000001,12.0,-2,3,5,3.2732683535398857
-1.457,1.243,-0.022,0.0,4.381,90.0,90.0,8.0,62.0,54.0,23.6,18.72,8.0,23.0,87.0,64.0,72.6,19.840000000000003,87.0,15.9994,150.36,134.3606,54.19964,45.840288,15.9994,54.8,1345.0,1290.2,544.1600000000001,587.232,54.8,3.0,16.0,13.0,13.0,4.0,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,198.0,132.0,103.2,44.64,66.0,1.17,3.44,2.27,2.7,0.8879999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,6.0,6.0,1.2,1.92,0.0,6.0,14.0,8.0,8.0,2.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.6,2.56,0.0,2.0,8.0,6.0,3.6,1.9200000000000004,2.0,9.105,33.23,24.124999999999996,16.71,9.126,9.105,0.0,0.383,0.383,0.0766,0.12256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,85.4,88.08,12.0,-2,4,6,3.3806170189140663
-1.457,0.649,0.233,0.0,4.332,90.0,90.0,8.0,80.0,72.0,34.0,31.2,8.0,31.0,87.0,56.0,72.6,17.28,87.0,15.9994,200.59,184.5906,82.21764,79.461888,15.9994,54.8,1685.0,1630.2,416.74399999999997,507.3023999999999,54.8,3.0,16.0,13.0,12.6,4.08,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,192.0,126.0,104.4,46.08,66.0,1.22,3.44,2.2199999999999998,2.7079999999999997,0.8784000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,4.8,5.76,0.0,6.0,26.0,20.0,11.2,6.24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,4.0,4.0,2.0,0.8,2.0,9.105,31.24,22.134999999999998,16.758517241379998,9.184220689655998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,79.2,80.64000000000001,12.0,0,0,0,0.0
-1.456,1.17,0.0,0.0,3.681,90.0,90.0,8.0,72.0,64.0,25.0,20.4,8.0,45.0,87.0,42.0,74.0,15.6,87.0,15.9994,178.49,162.4906,58.00684,50.408927999999996,15.9994,54.8,2506.0,2451.2,805.634,901.0008000000001,54.8,4.0,16.0,12.0,12.6,4.08,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,175.0,109.0,101.0,42.0,66.0,1.3,3.44,2.1399999999999997,2.7039999999999997,0.8832000000000001,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,10.0,10.0,2.4,3.04,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,6.0,18.0,12.0,9.4,4.08,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.0,2.0,2.0,9.105,22.2,13.094999999999999,12.116999999999999,4.033199999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,-2,4,6,3.3806170189140663
-1.456,1.241,-0.092,0.0,4.517,90.0,90.0,8.0,57.0,49.0,26.4,22.080000000000002,8.0,13.0,87.0,74.0,71.8,23.520000000000003,87.0,15.9994,138.90547,122.90607000000001,61.73273400000001,54.88000079999999,15.9994,54.8,1193.0,1138.2,452.236,476.9232,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,207.0,141.0,108.8,51.35999999999999,66.0,1.1,3.44,2.34,2.694,0.8952,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.2,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,7.2,3.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.6,2.16,2.0,9.105,36.8975,27.7925,19.1545,12.0594,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,79.2,80.64000000000001,12.0,-2,3,5,3.2732683535398857
